time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 16:00:00,72.48,73.22,72.38,73.04,9421,0,9951760
2019-12-31 17:00:00,73.05,73.08,72.67,72.77,11140,0,11003756
2019-12-31 18:00:00,72.77,73.07,72.75,73.01,8086,0,7825804
2019-12-31 19:00:00,73.01,73.12,72.93,73.02,5525,0,5073444
2019-12-31 20:00:00,73.01,73.08,72.97,73.05,4449,0,4095176
2019-12-31 21:00:00,73.05,73.12,73.0,73.09,4955,0,4644484
2019-12-31 22:00:00,73.09,73.42,73.07,73.35,17334,0,15288008
2020-01-02 16:00:00,74.06,74.54,73.8,74.49,15879,0,14602572
2020-01-02 17:00:00,74.5,74.6,74.15,74.53,16531,0,16208924
2020-01-02 18:00:00,74.53,74.69,74.37,74.6,11954,0,11878736
2020-01-02 19:00:00,74.6,74.7,74.51,74.68,8319,0,7097532
2020-01-02 20:00:00,74.68,74.68,74.53,74.61,6602,0,5324440
2020-01-02 21:00:00,74.61,74.79,74.52,74.77,9232,0,8265964
2020-01-02 22:00:00,74.77,75.15,74.76,75.15,19816,0,16749876
2020-01-03 16:00:00,74.28,75.14,74.13,74.8,20166,0,19213320
2020-01-03 17:00:00,74.8,74.9,74.4,74.66,14980,0,14578448
2020-01-03 18:00:00,74.67,74.96,74.49,74.84,10624,0,10073492
2020-01-03 19:00:00,74.84,75.15,74.83,75.05,9382,0,9396980
2020-01-03 20:00:00,75.06,75.1,74.69,74.85,7790,0,7743440
2020-01-03 21:00:00,74.85,74.99,74.71,74.96,6602,0,6077680
2020-01-03 22:00:00,74.95,75.0,74.35,74.35,16718,0,14525456
2020-01-06 16:00:00,73.45,74.25,73.19,74.21,15213,0,14992412
2020-01-06 17:00:00,74.22,74.56,74.06,74.51,11975,0,12464564
2020-01-06 18:00:00,74.52,74.91,74.41,74.62,11032,0,11352012
2020-01-06 19:00:00,74.61,74.62,74.29,74.53,7394,0,7433632
2020-01-06 20:00:00,74.54,74.84,74.51,74.8,6028,0,5805120
2020-01-06 21:00:00,74.8,74.99,74.75,74.85,8533,0,7775800
2020-01-06 22:00:00,74.85,74.96,74.74,74.95,12439,0,10511436
2020-01-07 16:00:00,74.97,75.23,74.44,74.71,14548,0,13416960
2020-01-07 17:00:00,74.72,74.89,74.37,74.85,12731,0,12260720
2020-01-07 18:00:00,74.85,74.97,74.64,74.74,8689,0,7699024
2020-01-07 19:00:00,74.74,74.91,74.66,74.89,5508,0,4953028
2020-01-07 20:00:00,74.89,75.1,74.89,75.02,6049,0,5842852
2020-01-07 21:00:00,75.02,75.03,74.74,74.75,5406,0,4995228
2020-01-07 22:00:00,74.75,74.89,74.49,74.57,12092,0,9816784
2020-01-08 16:00:00,74.29,74.78,74.29,74.59,9233,0,8820672
2020-01-08 17:00:00,74.6,74.69,74.34,74.43,9291,0,8764532
2020-01-08 18:00:00,74.43,75.05,74.38,75.02,12101,0,12852096
2020-01-08 19:00:00,75.02,75.76,75.02,75.66,16016,0,16644952
2020-01-08 20:00:00,75.66,75.81,75.6,75.65,7597,0,7246252
2020-01-08 21:00:00,75.65,75.77,75.63,75.77,5596,0,4803208
2020-01-08 22:00:00,75.77,76.11,75.56,75.79,19356,0,16217004
2020-01-09 16:00:00,76.81,77.23,76.72,77.08,19526,0,18636948
2020-01-09 17:00:00,77.07,77.37,76.86,77.28,16026,0,15300648
2020-01-09 18:00:00,77.28,77.61,77.25,77.48,14416,0,14720232
2020-01-09 19:00:00,77.49,77.5,76.55,76.92,16820,0,17685812
2020-01-09 20:00:00,76.91,77.45,76.86,77.27,12504,0,12779708
2020-01-09 21:00:00,77.27,77.37,77.18,77.26,7595,0,7327664
2020-01-09 22:00:00,77.25,77.43,77.07,77.43,15472,0,13762808
2020-01-10 16:00:00,77.65,78.05,77.43,78.02,15435,0,15089184
2020-01-10 17:00:00,78.02,78.17,77.92,78.01,15091,0,15211896
2020-01-10 18:00:00,78.01,78.08,77.61,77.77,11978,0,11861952
2020-01-10 19:00:00,77.78,77.78,77.07,77.44,14861,0,14042260
2020-01-10 20:00:00,77.44,77.74,77.43,77.68,7460,0,6787784
2020-01-10 21:00:00,77.68,77.74,77.32,77.52,9132,0,8365052
