time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 16:00:00,88.21,88.56,88.05,88.4,714,0,148466
2019-12-31 17:00:00,88.42,88.5,87.93,88.22,1390,0,295408
2019-12-31 18:00:00,88.2,88.37,88.04,88.18,1368,0,240954
2019-12-31 19:00:00,88.17,88.38,88.0,88.02,1558,0,288941
2019-12-31 20:00:00,88.01,88.14,87.93,87.95,1207,0,215860
2019-12-31 21:00:00,87.95,88.15,87.88,88.08,1537,0,260878
2019-12-31 22:00:00,88.07,88.6,88.07,88.52,3257,0,514504
2020-01-02 16:00:00,89.08,89.2,88.51,88.71,1529,0,307787
2020-01-02 17:00:00,88.71,89.29,88.52,89.27,2571,0,448650
2020-01-02 18:00:00,89.26,89.5,89.01,89.14,1904,0,379209
2020-01-02 19:00:00,89.14,89.22,89.01,89.11,1236,0,267735
2020-01-02 20:00:00,89.1,89.11,89.0,89.05,1327,0,277558
2020-01-02 21:00:00,89.05,89.15,89.0,89.1,1468,0,269460
2020-01-02 22:00:00,89.1,89.56,89.0,89.56,3635,0,627412
2020-01-03 16:00:00,88.17,88.64,87.91,88.53,2183,0,445723
2020-01-03 17:00:00,88.49,89.12,88.07,88.96,2208,0,396211
2020-01-03 18:00:00,88.95,89.37,88.69,89.17,2070,0,409059
2020-01-03 19:00:00,89.16,89.39,89.04,89.17,1382,0,276726
2020-01-03 20:00:00,89.2,89.21,88.65,88.72,1578,0,338421
2020-01-03 21:00:00,88.72,88.84,88.58,88.8,1318,0,266162
2020-01-03 22:00:00,88.8,88.92,88.51,88.73,3444,0,586394
2020-01-06 16:00:00,88.2,88.79,88.1,88.65,2155,0,413700
2020-01-06 17:00:00,88.64,88.71,87.98,88.54,2654,0,494880
2020-01-06 18:00:00,88.55,88.72,88.41,88.58,2054,0,434784
2020-01-06 19:00:00,88.57,88.86,88.48,88.82,1374,0,377679
2020-01-06 20:00:00,88.81,89.15,88.79,89.0,1996,0,424041
2020-01-06 21:00:00,89.0,89.4,88.9,89.4,1452,0,315204
2020-01-06 22:00:00,89.4,89.62,89.17,89.4,3559,0,630664
2020-01-07 16:00:00,88.94,89.2,88.26,88.44,3058,0,555886
2020-01-07 17:00:00,88.47,89.55,88.44,89.14,3539,0,791265
2020-01-07 18:00:00,89.13,89.25,88.48,88.49,2194,0,588377
2020-01-07 19:00:00,88.5,88.72,88.42,88.54,1911,0,420830
