time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 16:00:00,0.91262,0.91357,0.91249,0.91277,1742,18,0
2019-12-31 17:00:00,0.9128,0.91307,0.91055,0.91134,2707,17,0
2019-12-31 18:00:00,0.91134,0.91163,0.91055,0.91111,2087,20,0
2019-12-31 19:00:00,0.91111,0.91227,0.91105,0.91151,1311,14,0
2019-12-31 20:00:00,0.91151,0.91167,0.90987,0.9101,742,18,0
2019-12-31 21:00:00,0.9101,0.91146,0.91004,0.91092,1020,40,0
2019-12-31 22:00:00,0.91092,0.9111,0.91043,0.91087,783,42,0
2019-12-31 23:00:00,0.91087,0.91087,0.91087,0.91087,1,49,0
2020-01-02 06:00:00,0.90976,0.90996,0.90946,0.90964,638,19,0
2020-01-02 07:00:00,0.90964,0.90986,0.90862,0.90931,850,24,0
2020-01-02 08:00:00,0.90931,0.90942,0.90838,0.90887,733,16,0
2020-01-02 09:00:00,0.90887,0.9092,0.90846,0.90903,1064,17,0
2020-01-02 10:00:00,0.90903,0.90924,0.90798,0.90874,1380,14,0
2020-01-02 11:00:00,0.90874,0.90876,0.90806,0.9083,1112,16,0
2020-01-02 12:00:00,0.9083,0.90905,0.90762,0.90895,936,16,0
2020-01-02 13:00:00,0.90895,0.90906,0.90799,0.90822,1284,16,0
2020-01-02 14:00:00,0.90822,0.90866,0.90772,0.90833,1459,16,0
2020-01-02 15:00:00,0.90833,0.9094,0.9083,0.909,1701,17,0
2020-01-02 16:00:00,0.909,0.9093,0.9084,0.90865,1791,16,0
2020-01-02 17:00:00,0.90865,0.90889,0.90776,0.90874,2101,16,0
2020-01-02 18:00:00,0.90874,0.90887,0.90703,0.90738,1504,14,0
2020-01-02 19:00:00,0.90738,0.90769,0.90705,0.90755,1198,19,0
2020-01-02 20:00:00,0.90755,0.90768,0.90693,0.90703,952,15,0
2020-01-02 21:00:00,0.90703,0.90709,0.90631,0.90689,925,15,0
2020-01-02 22:00:00,0.90689,0.90754,0.90678,0.90726,997,18,0
2020-01-02 23:00:00,0.90729,0.90777,0.90714,0.90736,815,21,0
2020-01-03 00:00:00,0.90726,0.90755,0.90609,0.90643,614,27,0
2020-01-03 01:00:00,0.90652,0.90709,0.90633,0.90665,631,16,0
2020-01-03 02:00:00,0.90665,0.90693,0.90607,0.90665,846,14,0
2020-01-03 03:00:00,0.90665,0.9068,0.90511,0.90525,1504,15,0
2020-01-03 04:00:00,0.90525,0.90576,0.90448,0.905,2051,15,0
2020-01-03 05:00:00,0.905,0.90556,0.90436,0.90535,1365,18,0
2020-01-03 06:00:00,0.90535,0.90588,0.90481,0.9049,934,19,0
2020-01-03 07:00:00,0.9049,0.90522,0.90429,0.90435,1255,19,0
2020-01-03 08:00:00,0.90435,0.9046,0.9038,0.90405,993,14,0
2020-01-03 09:00:00,0.90403,0.90449,0.90139,0.90148,1932,16,0
2020-01-03 10:00:00,0.90149,0.90271,0.90084,0.90155,1963,15,0
2020-01-03 11:00:00,0.90155,0.90162,0.90032,0.9006,1637,15,0
2020-01-03 12:00:00,0.9006,0.90104,0.90042,0.90081,1272,16,0
2020-01-03 13:00:00,0.90081,0.90152,0.90053,0.90129,1466,16,0
2020-01-03 14:00:00,0.90127,0.90274,0.90119,0.9026,1386,15,0
2020-01-03 15:00:00,0.90259,0.90279,0.90191,0.9022,1683,15,0
2020-01-03 16:00:00,0.9022,0.90296,0.90193,0.90232,1560,16,0
2020-01-03 17:00:00,0.90232,0.90403,0.90163,0.90282,2437,16,0
