time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 16:00:00,76.227,76.312,76.167,76.257,3395,6,0
2019-12-31 17:00:00,76.255,76.395,76.207,76.37,4078,6,0
2019-12-31 18:00:00,76.37,76.43,76.337,76.392,3124,6,0
2019-12-31 19:00:00,76.393,76.413,76.278,76.278,1576,6,0
2019-12-31 20:00:00,76.278,76.301,76.201,76.209,755,7,0
2019-12-31 21:00:00,76.209,76.258,76.202,76.227,549,16,0
2019-12-31 22:00:00,76.227,76.244,76.212,76.239,535,25,0
2019-12-31 23:00:00,76.24,76.24,76.24,76.24,1,29,0
2020-01-02 06:00:00,76.158,76.183,76.124,76.142,1436,7,0
2020-01-02 07:00:00,76.142,76.173,76.063,76.132,2122,7,0
2020-01-02 08:00:00,76.132,76.146,76.057,76.094,1969,6,0
2020-01-02 09:00:00,76.094,76.174,76.082,76.152,1829,6,0
2020-01-02 10:00:00,76.152,76.217,76.142,76.204,2653,7,0
2020-01-02 11:00:00,76.205,76.234,76.136,76.157,2071,9,0
2020-01-02 12:00:00,76.157,76.186,76.078,76.128,1801,8,0
2020-01-02 13:00:00,76.127,76.129,75.951,75.97,1935,6,0
2020-01-02 14:00:00,75.97,76.069,75.955,76.058,1944,7,0
2020-01-02 15:00:00,76.059,76.088,76.005,76.043,2809,9,0
2020-01-02 16:00:00,76.044,76.073,75.947,75.98,3259,7,0
2020-01-02 17:00:00,75.98,75.984,75.702,75.813,4898,6,0
2020-01-02 18:00:00,75.813,75.828,75.666,75.699,2723,7,0
2020-01-02 19:00:00,75.699,75.802,75.692,75.789,2394,7,0
2020-01-02 20:00:00,75.789,75.794,75.751,75.772,1481,10,0
2020-01-02 21:00:00,75.772,75.811,75.751,75.783,1414,7,0
2020-01-02 22:00:00,75.782,75.838,75.775,75.837,1244,7,0
2020-01-02 23:00:00,75.837,75.894,75.822,75.879,783,7,0
2020-01-03 00:00:00,75.874,75.898,75.755,75.778,684,7,0
2020-01-03 01:00:00,75.785,75.891,75.785,75.796,1400,7,0
2020-01-03 02:00:00,75.796,75.8,75.7,75.7,2236,7,0
2020-01-03 03:00:00,75.7,75.745,75.437,75.451,3466,6,0
2020-01-03 04:00:00,75.45,75.517,75.238,75.295,5489,7,0
2020-01-03 05:00:00,75.295,75.381,75.205,75.378,3461,7,0
2020-01-03 06:00:00,75.378,75.445,75.302,75.311,2162,8,0
2020-01-03 07:00:00,75.311,75.343,75.207,75.251,2996,6,0
2020-01-03 08:00:00,75.251,75.292,75.216,75.284,2313,6,0
2020-01-03 09:00:00,75.282,75.29,75.024,75.065,4355,6,0
2020-01-03 10:00:00,75.064,75.202,75.021,75.058,4892,6,0
2020-01-03 11:00:00,75.058,75.058,74.921,74.962,4069,6,0
2020-01-03 12:00:00,74.962,75.032,74.927,74.948,4121,6,0
2020-01-03 13:00:00,74.948,74.992,74.85,74.884,3324,7,0
2020-01-03 14:00:00,74.884,75.126,74.876,75.084,3134,6,0
2020-01-03 15:00:00,75.084,75.21,75.084,75.115,3584,7,0
2020-01-03 16:00:00,75.115,75.248,75.105,75.166,4593,6,0
2020-01-03 17:00:00,75.127,75.247,75.056,75.139,6540,6,0
2020-01-03 18:00:00,75.139,75.181,75.07,75.145,3569,7,0
2020-01-03 19:00:00,75.145,75.189,75.139,75.17,2467,6,0
2020-01-03 20:00:00,75.17,75.18,75.001,75.164,3549,8,0
2020-01-03 21:00:00,75.17,75.188,75.121,75.155,2711,8,0
2020-01-03 22:00:00,75.155,75.177,75.131,75.158,2191,8,0
2020-01-03 23:00:00,75.16,75.179,75.078,75.078,878,9,0
2020-01-06 00:00:00,74.887,74.915,74.777,74.777,659,7,0
2020-01-06 01:00:00,74.777,74.974,74.73,74.965,4718,6,0
2020-01-06 02:00:00,74.965,75.201,74.962,75.131,4918,6,0
2020-01-06 03:00:00,75.131,75.15,74.851,74.912,3805,6,0
2020-01-06 04:00:00,74.912,75.065,74.904,75.035,2633,6,0
2020-01-06 05:00:00,75.035,75.061,74.97,75.007,1804,8,0
2020-01-06 06:00:00,75.007,75.068,74.977,75.043,1945,6,0
2020-01-06 07:00:00,75.043,75.053,74.955,74.957,1702,8,0
2020-01-06 08:00:00,74.958,74.986,74.854,74.976,2567,8,0
2020-01-06 09:00:00,74.976,75.146,74.969,75.078,3455,6,0
2020-01-06 10:00:00,75.077,75.136,74.909,74.99,4904,7,0
2020-01-06 11:00:00,74.99,75.121,74.972,75.102,3369,7,0
2020-01-06 12:00:00,75.102,75.158,75.067,75.089,2541,7,0
2020-01-06 13:00:00,75.089,75.136,75.035,75.069,2544,7,0
2020-01-06 14:00:00,75.069,75.187,75.057,75.157,2305,8,0
2020-01-06 15:00:00,75.158,75.164,75.034,75.079,2880,8,0
2020-01-06 16:00:00,75.078,75.098,74.848,74.912,4037,6,0
2020-01-06 17:00:00,74.912,75.146,74.888,75.087,4467,6,0
2020-01-06 18:00:00,75.095,75.15,75.071,75.106,2937,7,0
2020-01-06 19:00:00,75.107,75.156,75.1,75.137,1913,8,0
2020-01-06 20:00:00,75.139,75.183,75.133,75.154,1590,7,0
2020-01-06 21:00:00,75.154,75.219,75.141,75.195,1964,6,0
2020-01-06 22:00:00,75.196,75.257,75.188,75.256,1854,7,0
2020-01-06 23:00:00,75.256,75.267,75.196,75.196,934,7,0
2020-01-07 00:00:00,75.196,75.216,75.113,75.19,994,14,0
2020-01-07 01:00:00,75.191,75.211,75.14,75.2,2225,9,0
2020-01-07 02:00:00,75.2,75.233,75.099,75.121,2904,6,0
2020-01-07 03:00:00,75.121,75.224,75.099,75.163,2633,6,0
2020-01-07 04:00:00,75.163,75.22,75.13,75.175,1913,7,0
2020-01-07 05:00:00,75.175,75.259,75.166,75.238,1524,6,0
2020-01-07 06:00:00,75.238,75.245,75.149,75.156,1626,7,0
2020-01-07 07:00:00,75.156,75.2,74.947,74.952,2187,7,0
2020-01-07 08:00:00,74.952,75.021,74.807,74.966,4024,6,0
2020-01-07 09:00:00,74.964,75.002,74.706,74.738,4111,6,0
2020-01-07 10:00:00,74.741,74.998,74.731,74.893,4723,6,0
2020-01-07 11:00:00,74.892,74.938,74.699,74.76,3091,7,0
2020-01-07 12:00:00,74.759,74.766,74.537,74.577,3416,6,0
2020-01-07 13:00:00,74.577,74.595,74.471,74.534,2506,6,0
2020-01-07 14:00:00,74.534,74.623,74.533,74.545,2521,6,0
2020-01-07 15:00:00,74.545,74.603,74.442,74.456,3958,6,0
2020-01-07 16:00:00,74.455,74.496,74.367,74.418,4420,7,0
2020-01-07 17:00:00,74.422,74.606,74.403,74.593,6049,6,0
2020-01-07 18:00:00,74.594,74.613,74.451,74.454,2982,7,0
2020-01-07 19:00:00,74.454,74.552,74.444,74.549,2341,7,0
2020-01-07 20:00:00,74.549,74.579,74.528,74.533,1619,8,0
2020-01-07 21:00:00,74.533,74.551,74.503,74.54,2000,8,0
2020-01-07 22:00:00,74.54,74.57,74.531,74.552,1518,8,0
2020-01-07 23:00:00,74.552,74.556,74.342,74.495,1905,7,0
2020-01-08 00:00:00,74.495,74.54,74.43,74.478,1511,7,0
2020-01-08 01:00:00,74.478,74.497,73.867,74.078,6582,6,0
2020-01-08 02:00:00,74.078,74.164,73.757,73.983,11249,6,0
2020-01-08 03:00:00,73.983,74.315,73.929,74.162,9053,6,0
2020-01-08 04:00:00,74.162,74.634,74.142,74.529,9439,6,0
2020-01-08 05:00:00,74.529,74.581,74.261,74.456,5797,6,0
2020-01-08 06:00:00,74.456,74.525,74.386,74.402,2385,7,0
2020-01-08 07:00:00,74.401,74.48,74.368,74.397,2684,7,0
2020-01-08 08:00:00,74.397,74.5,74.397,74.458,2303,8,0
2020-01-08 09:00:00,74.458,74.648,74.457,74.609,4844,6,0
2020-01-08 10:00:00,74.609,74.686,74.507,74.561,6653,6,0
2020-01-08 11:00:00,74.562,74.601,74.51,74.521,3446,8,0
2020-01-08 12:00:00,74.521,74.697,74.446,74.627,4185,6,0
