time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 16:00:00,7157.1,7237.0,7138.0,7143.54,1095,12601,0
2019-12-31 17:00:00,7144.94,7168.85,7101.0,7101.43,1816,12601,0
2019-12-31 18:00:00,7101.43,7136.83,7098.1,7125.13,967,12604,0
2020-01-02 09:00:00,7036.61,7036.63,7006.13,7010.06,533,12601,0
2020-01-02 10:00:00,7010.06,7062.42,7010.06,7058.26,542,12602,0
2020-01-02 11:00:00,7058.26,7070.32,7042.58,7067.92,345,12673,0
2020-01-02 12:00:00,7067.92,7090.33,7063.8,7071.79,545,12601,0
2020-01-02 13:00:00,7071.79,7076.82,7051.03,7051.03,288,12601,0
2020-01-02 14:00:00,7051.03,7077.81,7051.03,7069.57,531,12602,0
2020-01-02 15:00:00,7070.65,7075.73,7012.31,7042.88,709,12601,0
2020-01-02 16:00:00,7042.88,7071.68,7034.49,7050.53,698,12601,0
2020-01-02 17:00:00,7050.53,7067.03,7033.0,7043.51,571,12601,0
2020-01-02 18:00:00,7043.51,7060.78,6948.0,6956.85,1252,12601,0
2020-01-02 19:00:00,6956.94,6957.85,6837.0,6881.19,2149,12601,0
2020-01-02 20:00:00,6881.6,6905.26,6860.87,6890.17,964,12601,0
2020-01-02 21:00:00,6890.17,6915.12,6874.41,6898.5,789,12601,0
2020-01-02 22:00:00,6898.5,6899.59,6859.41,6863.14,876,12601,0
2020-01-02 23:00:00,6865.39,6937.0,6861.02,6892.91,590,12633,0
2020-01-03 00:00:00,6892.91,6894.73,6881.19,6889.54,520,12601,0
2020-01-03 01:00:00,6889.54,6892.96,6871.19,6882.7,435,12601,0
2020-01-03 02:00:00,6882.7,6886.62,6839.28,6855.4,790,12601,0
2020-01-03 03:00:00,6855.4,6869.48,6797.0,6807.09,1099,12601,0
2020-01-03 04:00:00,6805.25,6881.81,6790.28,6876.8,1330,12601,0
2020-01-03 05:00:00,6876.8,6887.0,6857.82,6875.24,475,12604,0
2020-01-03 06:00:00,6874.1,7201.0,6871.08,7127.58,2400,12601,0
2020-01-03 07:00:00,7127.58,7168.66,7086.6,7138.47,1689,12601,0
2020-01-03 08:00:00,7138.47,7143.6,7111.9,7124.3,1043,12625,0
2020-01-03 09:00:00,7124.3,7162.0,7110.04,7125.4,1058,12609,0
2020-01-03 10:00:00,7125.4,7224.07,7120.94,7184.93,1401,12601,0
2020-01-03 11:00:00,7184.93,7282.37,7180.95,7269.76,1666,12601,0
2020-01-03 12:00:00,7269.76,7295.33,7208.39,7235.32,1626,12601,0
2020-01-03 13:00:00,7235.32,7273.32,7228.49,7265.15,1031,12601,0
2020-01-03 14:00:00,7265.15,7279.0,7227.92,7249.19,867,12601,0
2020-01-03 15:00:00,7249.19,7307.0,7243.21,7277.0,884,12601,0
2020-01-03 16:00:00,7277.0,7283.7,7158.31,7180.02,1925,12601,0
2020-01-03 17:00:00,7180.02,7251.35,7180.02,7247.2,806,12601,0
2020-01-03 18:00:00,7247.3,7337.0,7221.38,7318.2,2303,12601,0
2020-01-03 19:00:00,7318.2,7336.78,7265.21,7289.4,1725,12601,0
2020-01-03 20:00:00,7289.4,7300.66,7263.36,7276.97,858,12602,0
2020-01-03 21:00:00,7276.97,7277.24,7209.44,7267.79,1394,12601,0
2020-01-03 22:00:00,7267.79,7288.78,7227.23,7244.58,1110,12601,0
2020-01-03 23:00:00,7244.58,7261.84,7192.0,7201.02,884,12601,0
