time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 16:00:00,112.452,112.478,112.343,112.364,2964,10,0
2019-12-31 17:00:00,112.364,112.376,112.059,112.211,3435,6,0
2019-12-31 18:00:00,112.213,112.356,112.207,112.281,2601,8,0
2019-12-31 19:00:00,112.283,112.364,112.25,112.356,1219,12,0
2019-12-31 20:00:00,112.356,112.374,112.303,112.309,818,12,0
2019-12-31 21:00:00,112.309,112.349,112.283,112.288,946,22,0
2019-12-31 22:00:00,112.288,112.304,112.256,112.291,622,22,0
2020-01-02 06:00:00,112.21,112.219,112.087,112.119,726,8,0
2020-01-02 07:00:00,112.119,112.119,112.061,112.079,824,10,0
2020-01-02 08:00:00,112.077,112.092,112.016,112.041,722,10,0
2020-01-02 09:00:00,112.052,112.157,112.052,112.151,1591,8,0
2020-01-02 10:00:00,112.151,112.276,112.118,112.268,2206,9,0
2020-01-02 11:00:00,112.268,112.387,112.251,112.255,1688,8,0
2020-01-02 12:00:00,112.256,112.328,112.174,112.193,1679,6,0
2020-01-02 13:00:00,112.193,112.201,112.017,112.026,1378,6,0
2020-01-02 14:00:00,112.025,112.094,111.993,112.027,1515,10,0
2020-01-02 15:00:00,112.027,112.069,111.964,112.018,1590,11,0
2020-01-02 16:00:00,112.018,112.061,111.852,111.889,2427,11,0
2020-01-02 17:00:00,111.889,111.899,111.593,111.72,3197,8,0
2020-01-02 18:00:00,111.72,111.76,111.534,111.534,2093,8,0
2020-01-02 19:00:00,111.534,111.597,111.514,111.559,1371,10,0
2020-01-02 20:00:00,111.559,111.631,111.507,111.614,1135,7,0
2020-01-02 21:00:00,111.614,111.64,111.576,111.637,1200,10,0
2020-01-02 22:00:00,111.637,111.759,111.628,111.745,1065,11,0
2020-01-02 23:00:00,111.749,111.777,111.715,111.726,659,13,0
2020-01-03 00:00:00,111.723,111.743,111.608,111.691,583,52,0
2020-01-03 01:00:00,111.691,111.813,111.653,111.723,809,9,0
2020-01-03 02:00:00,111.723,111.74,111.605,111.619,986,9,0
2020-01-03 03:00:00,111.617,111.649,111.497,111.517,1411,8,0
2020-01-03 04:00:00,111.518,111.565,111.415,111.47,2428,8,0
2020-01-03 05:00:00,111.47,111.566,111.379,111.554,1504,8,0
2020-01-03 06:00:00,111.554,111.584,111.439,111.456,1101,6,0
2020-01-03 07:00:00,111.456,111.475,111.348,111.374,1445,7,0
2020-01-03 08:00:00,111.374,111.439,111.331,111.402,837,10,0
2020-01-03 09:00:00,111.402,111.414,111.115,111.167,2674,6,0
2020-01-03 10:00:00,111.165,111.22,111.041,111.088,3338,8,0
2020-01-03 11:00:00,111.088,111.121,110.991,111.002,2595,6,0
2020-01-03 12:00:00,111.002,111.049,110.926,110.982,2455,9,0
2020-01-03 13:00:00,110.982,111.016,110.926,110.947,2075,10,0
2020-01-03 14:00:00,110.947,111.153,110.947,111.11,2281,7,0
2020-01-03 15:00:00,111.113,111.207,111.1,111.147,2465,7,0
2020-01-03 16:00:00,111.148,111.267,111.128,111.186,2901,8,0
2020-01-03 17:00:00,111.186,111.318,111.058,111.29,4292,7,0
2020-01-03 18:00:00,111.29,111.297,111.15,111.239,2309,9,0
2020-01-03 19:00:00,111.239,111.261,111.193,111.206,1168,12,0
2020-01-03 20:00:00,111.206,111.209,111.063,111.117,2094,10,0
2020-01-03 21:00:00,111.117,111.169,111.112,111.157,1552,11,0
2020-01-03 22:00:00,111.159,111.197,111.113,111.173,1126,10,0
2020-01-03 23:00:00,111.173,111.214,111.15,111.164,664,12,0
2020-01-06 00:00:00,111.044,111.134,110.93,110.935,1181,18,0
2020-01-06 01:00:00,110.935,111.13,110.916,111.118,3499,11,0
2020-01-06 02:00:00,111.118,111.332,111.107,111.228,2985,10,0
2020-01-06 03:00:00,111.228,111.248,111.126,111.141,1866,9,0
2020-01-06 04:00:00,111.141,111.28,111.134,111.248,1403,10,0
2020-01-06 05:00:00,111.248,111.315,111.243,111.253,923,11,0
2020-01-06 06:00:00,111.253,111.284,111.22,111.246,1088,11,0
2020-01-06 07:00:00,111.245,111.283,111.228,111.243,903,11,0
2020-01-06 08:00:00,111.245,111.269,111.161,111.253,1464,9,0
2020-01-06 09:00:00,111.254,111.35,111.241,111.287,2284,10,0
2020-01-06 10:00:00,111.286,111.323,111.183,111.294,3556,10,0
2020-01-06 11:00:00,111.297,111.443,111.267,111.434,2590,9,0
2020-01-06 12:00:00,111.434,111.526,111.423,111.437,1819,7,0
2020-01-06 13:00:00,111.437,111.556,111.434,111.502,1776,11,0
2020-01-06 14:00:00,111.502,111.548,111.46,111.544,1727,8,0
2020-01-06 15:00:00,111.544,111.578,111.477,111.503,2105,6,0
2020-01-06 16:00:00,111.504,111.529,111.387,111.419,2281,8,0
2020-01-06 17:00:00,111.419,111.828,111.415,111.814,3026,6,0
2020-01-06 18:00:00,111.811,111.867,111.73,111.846,2046,8,0
2020-01-06 19:00:00,111.848,111.971,111.829,111.894,1095,9,0
2020-01-06 20:00:00,111.894,111.951,111.857,111.857,939,10,0
2020-01-06 21:00:00,111.857,111.959,111.84,111.936,1044,8,0
2020-01-06 22:00:00,111.936,111.955,111.899,111.931,941,11,0
2020-01-06 23:00:00,111.931,112.007,111.911,111.911,792,8,0
2020-01-07 00:00:00,111.911,111.949,111.779,111.877,1307,5,0
2020-01-07 01:00:00,111.874,111.992,111.874,111.921,1683,8,0
2020-01-07 02:00:00,111.921,111.943,111.882,111.892,1820,11,0
2020-01-07 03:00:00,111.892,111.938,111.867,111.91,1711,12,0
2020-01-07 04:00:00,111.91,111.963,111.9,111.912,1242,10,0
2020-01-07 05:00:00,111.915,111.954,111.889,111.906,929,11,0
2020-01-07 06:00:00,111.906,111.953,111.888,111.926,969,10,0
2020-01-07 07:00:00,111.926,111.94,111.84,111.84,988,9,0
2020-01-07 08:00:00,111.84,111.853,111.745,111.747,2139,6,0
2020-01-07 09:00:00,111.748,111.794,111.65,111.681,2721,6,0
2020-01-07 10:00:00,111.681,111.979,111.675,111.902,3366,7,0
2020-01-07 11:00:00,111.901,111.935,111.684,111.701,2138,8,0
2020-01-07 12:00:00,111.701,111.749,111.573,111.641,2330,10,0
2020-01-07 13:00:00,111.641,111.731,111.603,111.7,1791,9,0
2020-01-07 14:00:00,111.7,111.732,111.651,111.683,1703,10,0
