time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 16:00:00,121.971,122.016,121.878,121.903,4095,3,0
2019-12-31 17:00:00,121.903,122.048,121.821,121.992,6043,4,0
2019-12-31 18:00:00,121.991,122.093,121.927,122.024,4652,3,0
2019-12-31 19:00:00,122.026,122.027,121.939,121.955,2122,5,0
2019-12-31 20:00:00,121.955,121.97,121.936,121.939,767,6,0
2019-12-31 21:00:00,121.931,121.934,121.879,121.886,620,15,0
2019-12-31 22:00:00,121.885,121.921,121.875,121.912,1010,15,0
2019-12-31 23:00:00,121.913,121.913,121.913,121.913,1,27,0
2020-01-02 06:00:00,121.901,121.917,121.787,121.807,1672,5,0
2020-01-02 07:00:00,121.807,121.846,121.798,121.843,1937,6,0
2020-01-02 08:00:00,121.843,121.875,121.825,121.835,1406,6,0
2020-01-02 09:00:00,121.841,121.968,121.836,121.951,2586,4,0
2020-01-02 10:00:00,121.951,121.995,121.908,121.968,3164,4,0
2020-01-02 11:00:00,121.967,122.014,121.904,121.937,2319,4,0
2020-01-02 12:00:00,121.937,121.962,121.81,121.85,2412,5,0
2020-01-02 13:00:00,121.85,121.893,121.655,121.663,2882,5,0
2020-01-02 14:00:00,121.663,121.782,121.645,121.77,2223,4,0
2020-01-02 15:00:00,121.77,121.775,121.629,121.699,2835,4,0
2020-01-02 16:00:00,121.699,121.723,121.384,121.435,4561,3,0
2020-01-02 17:00:00,121.435,121.44,120.977,121.274,6192,4,0
2020-01-02 18:00:00,121.275,121.316,121.077,121.086,4796,3,0
2020-01-02 19:00:00,121.086,121.26,121.069,121.227,3747,3,0
2020-01-02 20:00:00,121.226,121.249,121.142,121.224,2980,3,0
2020-01-02 21:00:00,121.223,121.266,121.193,121.213,2218,3,0
2020-01-02 22:00:00,121.215,121.254,121.2,121.253,2944,6,0
2020-01-02 23:00:00,121.254,121.3,121.235,121.3,809,4,0
2020-01-03 00:00:00,121.275,121.293,121.205,121.251,802,10,0
2020-01-03 01:00:00,121.259,121.375,121.249,121.25,1107,3,0
2020-01-03 02:00:00,121.25,121.282,121.131,121.147,1645,5,0
2020-01-03 03:00:00,121.148,121.193,120.875,120.899,2562,4,0
2020-01-03 04:00:00,120.899,120.972,120.68,120.728,5543,4,0
2020-01-03 05:00:00,120.728,120.867,120.666,120.861,3449,4,0
2020-01-03 06:00:00,120.86,120.923,120.765,120.782,1969,5,0
2020-01-03 07:00:00,120.782,120.819,120.683,120.731,2544,5,0
2020-01-03 08:00:00,120.731,120.797,120.667,120.781,1603,5,0
2020-01-03 09:00:00,120.781,120.784,120.352,120.396,5036,4,0
2020-01-03 10:00:00,120.395,120.583,120.369,120.423,4809,5,0
2020-01-03 11:00:00,120.424,120.465,120.308,120.387,4634,4,0
2020-01-03 12:00:00,120.387,120.456,120.266,120.324,4991,5,0
2020-01-03 13:00:00,120.324,120.341,120.166,120.234,3911,3,0
2020-01-03 14:00:00,120.234,120.438,120.232,120.39,3539,4,0
2020-01-03 15:00:00,120.39,120.558,120.39,120.47,3723,3,0
2020-01-03 16:00:00,120.47,120.723,120.431,120.686,4675,3,0
2020-01-03 17:00:00,120.68,120.746,120.553,120.605,6577,3,0
2020-01-03 18:00:00,120.606,120.675,120.508,120.595,3976,3,0
2020-01-03 19:00:00,120.596,120.645,120.565,120.619,2374,3,0
2020-01-03 20:00:00,120.619,120.678,120.464,120.65,3664,5,0
2020-01-03 21:00:00,120.65,120.673,120.611,120.62,3079,4,0
2020-01-03 22:00:00,120.622,120.672,120.603,120.645,2476,4,0
2020-01-03 23:00:00,120.646,120.662,120.569,120.591,1089,6,0
2020-01-06 00:00:00,120.393,120.514,120.295,120.297,777,4,0
2020-01-06 01:00:00,120.297,120.515,120.273,120.499,6535,3,0
2020-01-06 02:00:00,120.496,120.743,120.494,120.642,5712,4,0
2020-01-06 03:00:00,120.642,120.663,120.455,120.498,4201,3,0
2020-01-06 04:00:00,120.498,120.654,120.488,120.619,2851,4,0
2020-01-06 05:00:00,120.619,120.707,120.611,120.653,2537,4,0
2020-01-06 06:00:00,120.653,120.676,120.606,120.642,2426,4,0
2020-01-06 07:00:00,120.642,120.66,120.59,120.616,1713,4,0
