time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 16:00:00,1.34466,1.34479,1.34455,1.34467,991,6,0
2019-12-31 17:00:00,1.34469,1.34473,1.34445,1.34459,1839,6,0
2019-12-31 18:00:00,1.34463,1.34494,1.34446,1.34463,1894,8,0
2019-12-31 19:00:00,1.34462,1.34476,1.34444,1.34454,1209,10,0
2019-12-31 20:00:00,1.34454,1.34467,1.34446,1.34459,441,12,0
2019-12-31 21:00:00,1.34454,1.3446500000000001,1.3444,1.34456,356,21,0
2019-12-31 22:00:00,1.34457,1.34482,1.34453,1.34469,374,24,0
2019-12-31 23:00:00,1.34469,1.34469,1.34469,1.34469,1,34,0
2020-01-02 06:00:00,1.34662,1.34688,1.34619,1.34683,373,5,0
2020-01-02 07:00:00,1.34683,1.34696,1.34628,1.34633,405,4,0
2020-01-02 08:00:00,1.34633,1.3469,1.34632,1.34659,548,5,0
2020-01-02 09:00:00,1.34659,1.34696,1.34642,1.34669,779,5,0
2020-01-02 10:00:00,1.34669,1.34713,1.34654,1.34657,788,5,0
2020-01-02 11:00:00,1.34657,1.34703,1.34641,1.34668,690,4,0
2020-01-02 12:00:00,1.34668,1.34788,1.34667,1.34747,712,3,0
2020-01-02 13:00:00,1.34747,1.34803,1.34742,1.34785,617,5,0
2020-01-02 14:00:00,1.34785,1.34827,1.34757,1.34759,540,7,0
2020-01-02 15:00:00,1.34759,1.34774,1.34723,1.34734,773,6,0
2020-01-02 16:00:00,1.34733,1.3480699999999999,1.3471199999999999,1.3472,948,6,0
2020-01-02 17:00:00,1.34718,1.34748,1.34656,1.3465799999999999,1017,5,0
2020-01-02 18:00:00,1.3465799999999999,1.34761,1.34632,1.34761,665,3,0
2020-01-02 19:00:00,1.34761,1.3477999999999999,1.34748,1.34754,360,7,0
2020-01-02 20:00:00,1.34754,1.3479,1.34754,1.34776,341,9,0
2020-01-02 21:00:00,1.34776,1.34792,1.34763,1.34763,236,10,0
2020-01-02 22:00:00,1.34763,1.34782,1.34748,1.34769,286,9,0
2020-01-02 23:00:00,1.34769,1.34769,1.34726,1.34747,205,6,0
2020-01-03 00:00:00,1.34735,1.34735,1.3461,1.34691,158,37,0
2020-01-03 01:00:00,1.34656,1.34768,1.34656,1.34733,484,9,0
2020-01-03 02:00:00,1.34733,1.34752,1.34669,1.34679,488,3,0
2020-01-03 03:00:00,1.3468,1.34815,1.34669,1.34802,701,3,0
2020-01-03 04:00:00,1.34802,1.34942,1.3477700000000001,1.34887,1021,6,0
2020-01-03 05:00:00,1.34887,1.34945,1.34856,1.3486500000000001,697,3,0
2020-01-03 06:00:00,1.34863,1.34924,1.34848,1.34921,384,3,0
2020-01-03 07:00:00,1.34921,1.34985,1.34905,1.34936,647,2,0
2020-01-03 08:00:00,1.34936,1.3496000000000001,1.34906,1.34924,465,4,0
2020-01-03 09:00:00,1.34924,1.34976,1.34889,1.3495300000000001,952,4,0
2020-01-03 10:00:00,1.3495300000000001,1.34965,1.34887,1.34954,1041,5,0
2020-01-03 11:00:00,1.34954,1.35026,1.34948,1.35008,802,3,0
2020-01-03 12:00:00,1.35008,1.35057,1.34995,1.35007,935,6,0
2020-01-03 13:00:00,1.35007,1.3507500000000001,1.35007,1.35069,613,5,0
2020-01-03 14:00:00,1.35069,1.3508200000000001,1.34998,1.35006,651,6,0
2020-01-03 15:00:00,1.35006,1.3501,1.34944,1.34978,926,5,0
2020-01-03 16:00:00,1.34978,1.34986,1.3489,1.34916,1003,5,0
2020-01-03 17:00:00,1.3492,1.3492,1.3486500000000001,1.34877,1212,5,0
2020-01-03 18:00:00,1.34877,1.34898,1.34846,1.3486099999999999,581,7,0
2020-01-03 19:00:00,1.3486099999999999,1.34888,1.34856,1.3486799999999999,388,9,0
2020-01-03 20:00:00,1.3486799999999999,1.34943,1.3486799999999999,1.3491,365,7,0
2020-01-03 21:00:00,1.3491,1.34972,1.3489900000000001,1.3489900000000001,1049,9,0
2020-01-03 22:00:00,1.34901,1.3495,1.3489,1.34947,391,13,0
2020-01-03 23:00:00,1.34947,1.35039,1.3484099999999999,1.34851,382,9,0
2020-01-06 00:00:00,1.34866,1.3495300000000001,1.34847,1.34872,215,17,0
2020-01-06 01:00:00,1.34891,1.3505099999999999,1.34891,1.35001,907,6,0
2020-01-06 02:00:00,1.35006,1.35006,1.34905,1.34951,780,3,0
2020-01-06 03:00:00,1.34951,1.35062,1.34937,1.35035,687,2,0
2020-01-06 04:00:00,1.35035,1.35045,1.35004,1.3503,515,2,0
2020-01-06 05:00:00,1.35031,1.3504,1.35013,1.3502399999999999,355,5,0
2020-01-06 06:00:00,1.3502399999999999,1.35046,1.34996,1.34998,330,4,0
2020-01-06 07:00:00,1.34998,1.35114,1.34995,1.35089,345,5,0
