time,open,high,low,close,tick_volume,spread,real_volume
2019-12-31 16:00:00,979.17,984.56,974.42,975.35,3429,350,0
2019-12-31 17:00:00,975.3,980.38,972.86,974.12,3000,360,0
2019-12-31 18:00:00,974.13,976.63,971.5,976.1,2505,660,0
2019-12-31 19:00:00,976.08,977.76,973.63,973.72,1544,580,0
2019-12-31 20:00:00,973.73,973.75,967.0,967.59,1739,830,0
2020-01-02 01:00:00,966.83,970.27,966.11,969.21,856,800,0
2020-01-02 02:00:00,969.19,970.17,968.19,968.97,682,1170,0
2020-01-02 03:00:00,968.99,972.41,968.7,971.28,1596,890,0
2020-01-02 04:00:00,971.31,973.81,969.96,972.52,1079,1050,0
2020-01-02 05:00:00,972.51,973.95,972.14,972.53,738,800,0
2020-01-02 06:00:00,972.48,972.56,969.76,969.85,594,750,0
2020-01-02 07:00:00,969.87,970.66,968.81,969.21,676,1100,0
2020-01-02 08:00:00,969.2,969.71,966.72,967.04,1137,850,0
2020-01-02 09:00:00,967.12,968.62,965.79,967.18,1157,850,0
2020-01-02 10:00:00,967.19,978.82,967.17,978.82,2217,210,0
2020-01-02 11:00:00,978.91,981.09,976.93,980.04,1667,460,0
2020-01-02 12:00:00,979.98,980.8,977.39,980.35,1059,780,0
2020-01-02 13:00:00,980.31,980.37,975.64,976.33,1074,800,0
2020-01-02 14:00:00,976.36,980.92,976.05,980.62,1279,760,0
2020-01-02 15:00:00,980.69,991.59,979.94,989.23,3344,510,0
2020-01-02 16:00:00,989.31,991.05,982.29,984.52,2689,320,0
2020-01-02 17:00:00,984.45,988.16,982.81,987.34,3463,600,0
2020-01-02 18:00:00,987.35,988.18,975.78,975.91,3392,220,0
2020-01-02 19:00:00,975.95,977.63,969.76,977.4,2737,610,0
2020-01-02 20:00:00,977.46,979.58,972.71,974.17,1778,420,0
2020-01-02 21:00:00,974.19,975.67,974.12,975.04,1012,850,0
2020-01-02 22:00:00,975.16,978.4,975.11,978.36,1083,880,0
2020-01-02 23:00:00,978.37,979.34,978.05,979.2,518,1050,0
2020-01-03 01:00:00,979.36,980.56,978.08,980.52,384,890,0
2020-01-03 02:00:00,980.53,983.52,980.53,983.27,915,800,0
2020-01-03 03:00:00,983.26,987.3,982.05,986.29,1513,630,0
2020-01-03 04:00:00,986.37,986.74,980.25,981.5,1841,760,0
2020-01-03 05:00:00,981.6,982.63,979.2,980.26,935,1120,0
2020-01-03 06:00:00,980.33,981.24,979.29,980.76,707,1120,0
2020-01-03 07:00:00,980.78,985.38,980.15,981.77,1151,1260,0
2020-01-03 08:00:00,981.73,983.72,980.64,983.67,972,900,0
2020-01-03 09:00:00,983.68,987.29,982.48,985.07,1495,590,0
2020-01-03 10:00:00,985.12,987.85,984.17,986.75,1733,200,0
2020-01-03 11:00:00,986.76,995.4,985.07,993.28,1896,200,0
2020-01-03 12:00:00,993.28,993.96,990.39,993.25,1620,270,0
2020-01-03 13:00:00,993.4,993.73,987.87,988.55,1054,200,0
2020-01-03 14:00:00,988.6,989.34,979.38,982.92,1812,670,0
2020-01-03 15:00:00,982.91,986.45,979.41,983.98,3285,640,0
2020-01-03 16:00:00,983.99,990.07,983.09,986.52,4047,850,0
2020-01-03 17:00:00,986.56,990.27,982.69,984.31,3900,790,0
2020-01-03 18:00:00,984.29,988.0,981.66,984.78,2628,630,0
2020-01-03 19:00:00,984.75,984.75,980.84,983.81,1990,640,0
2020-01-03 20:00:00,983.74,985.25,982.31,984.13,1869,850,0
2020-01-03 21:00:00,984.3,984.52,980.69,981.54,1569,850,0
2020-01-03 22:00:00,981.58,981.58,979.79,980.13,1208,1050,0
2020-01-03 23:00:00,980.17,981.64,979.35,980.22,721,1050,0
2020-01-06 01:00:00,982.5,990.35,982.12,982.37,2822,920,0
2020-01-06 02:00:00,982.35,983.64,979.3,981.23,1711,900,0
2020-01-06 03:00:00,981.2,991.05,981.2,988.98,1765,400,0
2020-01-06 04:00:00,989.01,992.11,986.8,991.33,1392,410,0
2020-01-06 05:00:00,991.53,992.83,991.16,991.49,854,400,0
2020-01-06 06:00:00,991.49,991.61,990.11,990.88,667,540,0
2020-01-06 07:00:00,990.92,991.3,987.16,989.74,558,400,0
2020-01-06 08:00:00,989.73,990.45,987.13,988.96,900,530,0
2020-01-06 09:00:00,988.96,989.19,983.78,983.78,1808,250,0
2020-01-06 10:00:00,983.86,985.97,981.51,985.42,2246,300,0
2020-01-06 11:00:00,985.14,988.28,984.62,986.34,1593,760,0
2020-01-06 12:00:00,986.35,987.63,985.96,986.53,1265,690,0
2020-01-06 13:00:00,986.48,988.13,984.6,987.88,1198,440,0
2020-01-06 14:00:00,987.86,987.97,984.15,986.26,1871,430,0
2020-01-06 15:00:00,986.27,986.27,980.19,984.72,3442,450,0
2020-01-06 16:00:00,984.75,986.76,974.11,974.8,4356,220,0
2020-01-06 17:00:00,974.73,978.61,959.73,963.38,5555,230,0
2020-01-06 18:00:00,963.37,963.95,954.72,960.46,4075,270,0
2020-01-06 19:00:00,960.39,961.05,956.77,958.73,2021,470,0
2020-01-06 20:00:00,958.68,963.52,956.9,958.29,2134,790,0
2020-01-06 21:00:00,958.3,962.17,958.3,960.8,1100,850,0
2020-01-06 22:00:00,960.81,962.22,960.55,961.96,981,950,0
2020-01-06 23:00:00,961.91,963.38,961.89,963.03,521,1050,0
2020-01-07 01:00:00,962.93,964.31,960.28,963.64,826,1050,0
2020-01-07 02:00:00,963.72,964.52,961.93,963.37,1235,1080,0
2020-01-07 03:00:00,963.38,966.37,961.24,963.4,2643,740,0
2020-01-07 04:00:00,963.38,965.92,962.37,965.11,1852,840,0
2020-01-07 05:00:00,965.1,966.03,964.82,965.61,1030,870,0
2020-01-07 06:00:00,965.6,967.63,965.15,967.6,723,1050,0
2020-01-07 07:00:00,967.61,969.22,966.38,968.34,1280,1090,0
2020-01-07 08:00:00,968.37,975.98,968.33,971.9,1700,700,0
2020-01-07 09:00:00,971.88,973.73,970.02,973.22,1660,700,0
2020-01-07 10:00:00,973.17,973.6,967.47,967.91,2277,690,0
2020-01-07 11:00:00,967.89,968.8,965.41,967.08,1646,850,0
2020-01-07 12:00:00,967.09,968.58,966.25,967.71,1416,720,0
2020-01-07 13:00:00,967.68,971.92,967.65,970.3,1311,640,0
2020-01-07 14:00:00,970.3,972.1,967.97,968.73,1716,660,0
2020-01-07 15:00:00,968.65,969.49,959.11,960.13,3917,600,0
2020-01-07 16:00:00,960.13,964.28,957.07,957.87,5106,280,0
2020-01-07 17:00:00,957.86,962.42,956.31,956.83,4968,480,0
2020-01-07 18:00:00,956.85,966.31,956.78,965.42,3208,670,0
2020-01-07 19:00:00,965.35,966.98,964.3,965.71,2325,540,0
2020-01-07 20:00:00,965.72,968.47,964.92,967.87,1579,670,0
2020-01-07 21:00:00,967.95,969.8,966.76,969.46,1452,490,0
2020-01-07 22:00:00,969.57,970.53,968.64,970.27,954,740,0
2020-01-07 23:00:00,970.39,971.47,969.88,971.12,809,1050,0
2020-01-08 01:00:00,968.73,972.44,968.73,972.22,2562,920,0
2020-01-08 02:00:00,972.2,976.61,971.08,972.94,3868,910,0
2020-01-08 03:00:00,972.94,976.61,971.26,972.06,3833,730,0
2020-01-08 04:00:00,972.07,973.21,969.0,971.31,3947,840,0
2020-01-08 05:00:00,971.35,974.82,971.09,972.62,2457,930,0
2020-01-08 06:00:00,972.6,973.27,971.4,973.04,1542,950,0
2020-01-08 07:00:00,972.95,973.32,969.74,970.22,1889,930,0
2020-01-08 08:00:00,970.2,972.99,969.75,971.54,921,740,0
2020-01-08 09:00:00,971.54,972.35,967.81,969.26,2051,300,0
2020-01-08 10:00:00,969.35,970.03,963.35,963.81,2591,240,0
2020-01-08 11:00:00,963.8,968.07,963.12,967.88,1918,230,0
2020-01-08 12:00:00,968.03,969.65,966.74,967.3,1495,240,0
2020-01-08 13:00:00,967.34,970.06,966.85,969.11,1719,580,0
2020-01-08 14:00:00,969.11,971.52,967.65,968.05,2051,630,0
2020-01-08 15:00:00,968.07,973.52,965.7,973.17,3814,390,0
2020-01-08 16:00:00,973.18,974.37,962.74,963.36,4311,250,0
2020-01-08 17:00:00,963.21,964.91,958.97,960.53,3854,240,0
2020-01-08 18:00:00,960.53,960.96,955.52,958.24,4606,340,0
2020-01-08 19:00:00,958.19,962.07,957.78,959.2,2530,580,0
2020-01-08 20:00:00,959.21,960.29,952.2,953.25,2262,220,0
2020-01-08 21:00:00,953.3,955.32,952.32,955.2,1797,400,0
2020-01-08 22:00:00,955.2,956.09,952.48,955.61,1523,710,0
2020-01-08 23:00:00,955.59,955.59,953.48,953.48,516,1030,0
2020-01-09 01:00:00,952.15,957.08,952.0,955.82,689,730,0
2020-01-09 02:00:00,955.82,956.3,953.86,956.25,1108,940,0
2020-01-09 03:00:00,956.25,961.37,955.96,958.39,1535,660,0
2020-01-09 04:00:00,958.41,959.41,957.25,958.69,927,1070,0
2020-01-09 05:00:00,958.78,958.93,955.45,957.49,896,910,0
2020-01-09 06:00:00,957.5,958.47,955.83,955.96,497,1130,0
2020-01-09 07:00:00,955.99,956.63,952.52,954.22,1206,1190,0
2020-01-09 08:00:00,954.21,955.82,949.6,953.59,2054,440,0
2020-01-09 09:00:00,953.6,954.1,948.1,951.89,1500,270,0
2020-01-09 10:00:00,951.9,956.16,950.89,953.71,1948,700,0
2020-01-09 11:00:00,953.68,956.24,950.95,953.99,1708,240,0
2020-01-09 12:00:00,954.0,959.28,953.74,956.88,1219,270,0
2020-01-09 13:00:00,956.95,962.73,955.89,958.49,1271,400,0
2020-01-09 14:00:00,958.45,963.09,957.49,961.95,2274,400,0
2020-01-09 15:00:00,961.94,962.41,957.16,960.58,3013,310,0
2020-01-09 16:00:00,960.55,966.1,956.0,964.5,3493,300,0
2020-01-09 17:00:00,964.48,967.89,962.9,965.86,3838,230,0
2020-01-09 18:00:00,965.86,971.26,965.86,968.65,2799,260,0
2020-01-09 19:00:00,968.68,970.13,964.11,964.12,1844,350,0
2020-01-09 20:00:00,964.15,967.83,964.15,965.94,2271,330,0
2020-01-09 21:00:00,966.0,968.22,964.78,967.16,1180,220,0
2020-01-09 22:00:00,967.14,967.62,965.68,966.12,861,560,0
2020-01-09 23:00:00,966.15,966.82,965.8,966.57,330,930,0
2020-01-10 01:00:00,967.22,969.21,966.54,968.4,520,930,0
2020-01-10 02:00:00,968.41,969.07,966.88,967.5,991,970,0
2020-01-10 03:00:00,967.44,967.44,962.45,964.36,1588,650,0
2020-01-10 04:00:00,964.35,965.23,963.1,965.15,714,750,0
2020-01-10 05:00:00,965.11,965.14,962.11,962.27,563,450,0
2020-01-10 06:00:00,962.2,964.94,962.13,964.75,479,730,0
2020-01-10 07:00:00,964.71,967.0,964.19,966.96,613,670,0
2020-01-10 08:00:00,966.95,967.05,964.86,966.23,623,900,0
2020-01-10 09:00:00,966.26,970.58,965.95,970.48,1047,840,0
2020-01-10 10:00:00,970.55,973.15,970.55,971.83,1506,740,0
2020-01-10 11:00:00,971.81,973.89,970.68,973.78,1304,660,0
2020-01-10 12:00:00,973.67,974.53,971.4,972.2,815,650,0
2020-01-10 13:00:00,972.2,979.37,972.17,979.25,1118,280,0
2020-01-10 14:00:00,979.26,979.27,972.08,973.17,1021,500,0
2020-01-10 15:00:00,973.11,977.45,968.73,971.51,3932,560,0
2020-01-10 16:00:00,971.53,973.22,969.01,971.91,2954,650,0
2020-01-10 17:00:00,972.03,978.39,971.22,977.16,3262,780,0
2020-01-10 18:00:00,976.94,983.14,976.23,981.21,3057,580,0
2020-01-10 19:00:00,981.2,981.61,979.39,980.54,1685,790,0
2020-01-10 20:00:00,980.52,981.61,978.06,978.93,1368,690,0
2020-01-10 21:00:00,978.91,980.29,978.25,978.94,827,800,0
2020-01-10 22:00:00,978.95,979.63,977.43,978.48,774,1050,0
2020-01-10 23:00:00,978.47,979.56,977.43,977.74,592,1190,0
2020-01-13 01:00:00,976.63,978.2,974.82,976.05,550,1180,0
2020-01-13 02:00:00,976.0,978.82,976.0,978.44,467,760,0
2020-01-13 03:00:00,978.43,978.5,975.51,976.31,1074,990,0
2020-01-13 04:00:00,976.29,976.76,975.43,976.14,513,900,0
2020-01-13 05:00:00,976.17,978.2,976.16,977.93,355,860,0
2020-01-13 06:00:00,977.92,977.99,973.21,974.0,563,740,0
2020-01-13 07:00:00,974.12,975.05,973.58,973.67,393,980,0
2020-01-13 08:00:00,973.65,974.29,972.44,973.65,555,840,0
2020-01-13 09:00:00,973.63,973.85,968.41,970.36,1071,490,0
2020-01-13 10:00:00,970.33,971.56,968.98,969.3,1036,540,0
2020-01-13 11:00:00,969.33,969.37,966.49,967.88,1232,580,0
2020-01-13 12:00:00,967.83,971.02,967.24,970.76,895,770,0
2020-01-13 13:00:00,970.84,972.27,968.91,971.65,857,770,0
2020-01-13 14:00:00,971.63,974.68,971.55,974.37,920,320,0
2020-01-13 15:00:00,974.41,978.9,972.61,977.17,2437,530,0
2020-01-13 16:00:00,977.16,978.38,967.53,969.95,3668,380,0
2020-01-13 17:00:00,969.94,970.34,963.76,969.0,3181,600,0
2020-01-13 18:00:00,968.95,973.58,967.67,972.51,2057,520,0
2020-01-13 19:00:00,972.54,975.15,972.46,975.13,1638,530,0
2020-01-13 20:00:00,975.16,977.51,974.17,974.42,1592,560,0
2020-01-13 21:00:00,974.42,977.29,974.42,976.73,833,710,0
2020-01-13 22:00:00,976.75,977.25,975.5,976.25,641,760,0
2020-01-13 23:00:00,975.98,975.99,973.81,974.29,427,1050,0
2020-01-14 01:00:00,973.84,975.82,973.6,975.07,686,1100,0
