time,open,high,low,close,volume
2020-01-02 03:00:00,28200.79,28517.29,28199.79,28509.79,7585
2020-01-02 04:00:00,28511.79,28547.79,28450.79,28453.79,4907
2020-01-02 05:00:00,28453.29,28483.29,28446.79,28482.79,1297
2020-01-02 07:00:00,28470.79,28504.79,28387.79,28498.29,4021
2020-01-02 08:00:00,28498.79,28527.29,28492.29,28511.29,3163
2020-01-02 09:00:00,28512.79,28558.79,28500.79,28507.79,2859
2020-01-03 03:00:00,28786.79,28879.29,28546.79,28567.79,8112
2020-01-03 04:00:00,28569.29,28583.79,28416.79,28454.29,7280
2020-01-03 05:00:00,28453.79,28487.29,28441.79,28480.79,1926
2020-01-03 07:00:00,28481.29,28496.79,28399.79,28459.29,4777
2020-01-03 08:00:00,28458.79,28483.79,28437.79,28464.79,3337
2020-01-03 09:00:00,28459.79,28482.79,28413.29,28415.29,3050
2020-01-06 03:00:00,28307.79,28385.29,28185.29,28266.79,7415
2020-01-06 04:00:00,28265.29,28307.29,28211.79,28303.29,5443
2020-01-06 05:00:00,28302.79,28308.29,28263.79,28266.29,1423
2020-01-06 07:00:00,28284.79,28319.79,28236.79,28237.29,3687
2020-01-06 08:00:00,28238.79,28242.79,28027.29,28136.29,5505
2020-01-06 09:00:00,28135.79,28243.29,28118.29,28190.29,3624
2020-01-07 03:00:00,28293.29,28480.29,28258.29,28425.79,6986
2020-01-07 04:00:00,28423.79,28458.29,28320.79,28358.79,5448
2020-01-07 05:00:00,28359.29,28388.79,28343.29,28386.79,1376
2020-01-07 07:00:00,28399.79,28401.79,28336.79,28366.79,3499
2020-01-07 08:00:00,28366.29,28389.79,28311.79,28381.79,3770
2020-01-07 09:00:00,28381.29,28395.79,28241.79,28254.79,3694
2020-01-08 03:00:00,27874.79,28047.29,27826.79,27976.29,8604
2020-01-08 04:00:00,27975.79,28207.79,27969.29,28114.29,7645
2020-01-08 05:00:00,28117.29,28134.29,28074.29,28112.29,2477
2020-01-08 07:00:00,28068.29,28081.79,27953.79,27975.29,4686
2020-01-08 08:00:00,27976.29,28014.79,27964.79,27995.79,3596
2020-01-08 09:00:00,27994.79,28099.29,27987.29,28044.79,3879
2020-01-09 03:00:00,28350.29,28464.29,28328.79,28445.29,6970
2020-01-09 04:00:00,28444.29,28449.79,28372.29,28390.29,4858
2020-01-09 05:00:00,28388.79,28420.79,28383.79,28411.79,1063
2020-01-09 07:00:00,28423.29,28487.79,28420.79,28460.79,3687
2020-01-09 08:00:00,28461.79,28505.79,28449.29,28462.29,3317
2020-01-09 09:00:00,28462.79,28592.79,28458.29,28581.79,3318
2020-01-10 03:00:00,28590.29,28651.29,28513.79,28533.79,6806
2020-01-10 04:00:00,28532.79,28645.79,28500.79,28624.79,5367
2020-01-10 05:00:00,28624.29,28629.29,28590.79,28596.29,1292
2020-01-10 07:00:00,28595.29,28629.79,28551.79,28624.79,3620
2020-01-10 08:00:00,28628.79,28666.79,28612.29,28636.79,3404
2020-01-10 09:00:00,28635.79,28649.79,28611.29,28636.29,2438
2020-01-13 03:00:00,28848.29,28850.29,28680.29,28764.29,7557
2020-01-13 04:00:00,28763.29,28971.79,28755.29,28889.79,5743
2020-01-13 05:00:00,28889.29,28901.79,28862.79,28896.79,1352
2020-01-13 07:00:00,28898.79,28932.79,28878.79,28923.79,3601
2020-01-13 08:00:00,28922.79,28988.29,28910.29,28965.79,3254
2020-01-13 09:00:00,28966.29,28997.79,28913.79,28938.79,2897
2020-01-14 03:00:00,29098.29,29122.29,28924.79,29045.79,7258
2020-01-14 04:00:00,29047.29,29053.79,28891.79,28892.29,5372
2020-01-14 05:00:00,28890.79,28936.29,28865.79,28911.29,2121
2020-01-14 07:00:00,28903.79,28964.79,28869.79,28883.79,3906
2020-01-14 08:00:00,28885.79,28914.79,28852.29,28901.79,3694
2020-01-14 09:00:00,28899.29,28904.79,28807.79,28831.29,3183
2020-01-15 03:00:00,28870.79,28985.29,28651.79,28655.29,7705
2020-01-15 04:00:00,28654.79,28758.79,28648.29,28669.79,5372
2020-01-15 05:00:00,28669.29,28694.79,28626.79,28663.79,1567
2020-01-15 07:00:00,28656.29,28731.29,28627.29,28726.29,3520
2020-01-15 08:00:00,28725.79,28800.29,28687.79,28725.79,3721
2020-01-15 09:00:00,28726.29,28768.29,28711.29,28756.29,2575
2020-01-16 03:00:00,28843.79,29013.29,28713.29,28947.79,7756
2020-01-16 04:00:00,28946.79,28964.79,28756.79,28800.79,6012
2020-01-16 05:00:00,28802.29,28802.29,28732.29,28772.29,1950
2020-01-16 07:00:00,28806.79,28826.79,28769.79,28807.79,3151
2020-01-16 08:00:00,28807.29,28811.79,28759.29,28786.79,2893
2020-01-16 09:00:00,28787.79,28823.79,28777.29,28812.79,2555
2020-01-17 03:00:00,28925.29,29138.29,28785.29,28997.29,7885
2020-01-17 04:00:00,28998.29,29011.29,28828.79,28886.79,5710
2020-01-17 05:00:00,28887.29,28900.29,28861.79,28866.79,1153
2020-01-17 07:00:00,28861.29,28886.29,28833.29,28859.29,2716
2020-01-17 08:00:00,28859.79,28898.79,28849.79,28886.29,2325
2020-01-17 09:00:00,28885.79,29026.79,28877.29,29017.29,3646
2020-01-20 03:00:00,29110.79,29136.29,28988.29,29027.29,7483
2020-01-20 04:00:00,29028.29,29072.29,28917.79,28979.29,5471
2020-01-20 05:00:00,28980.29,28984.29,28924.29,28928.79,1336
2020-01-20 07:00:00,28933.29,28969.29,28813.29,28846.29,4806
2020-01-20 08:00:00,28847.29,28898.79,28824.29,28892.29,3380
2020-01-20 09:00:00,28890.79,28913.79,28766.29,28767.79,3484
2020-01-21 03:00:00,28397.79,28432.79,28225.79,28273.29,7668
2020-01-21 04:00:00,28274.29,28303.29,28193.29,28218.79,6011
2020-01-21 05:00:00,28217.79,28221.29,28084.79,28115.29,2547
2020-01-21 07:00:00,28111.29,28175.29,28028.29,28064.29,4497
2020-01-21 08:00:00,28066.29,28102.79,27980.29,28007.79,4408
2020-01-21 09:00:00,28007.29,28030.29,27945.79,27985.29,4992
2020-01-22 03:00:00,28097.79,28159.79,27917.29,28110.29,8027
2020-01-22 04:00:00,28111.29,28232.29,28102.29,28159.79,6543
2020-01-22 05:00:00,28158.79,28213.79,28148.79,28181.29,1789
2020-01-22 07:00:00,28179.29,28333.79,28161.29,28268.79,4758
2020-01-22 08:00:00,28268.29,28325.29,28247.79,28288.29,4247
2020-01-22 09:00:00,28286.79,28355.79,28275.79,28282.79,3611
2020-01-23 03:00:00,28032.79,28108.79,27917.29,28050.79,7640
2020-01-23 04:00:00,28051.29,28060.79,27865.29,27889.29,6107
2020-01-23 05:00:00,27888.29,27893.79,27801.79,27825.79,2353
2020-01-23 07:00:00,27826.79,27831.79,27697.29,27729.79,6251
2020-01-23 08:00:00,27730.29,27762.79,27682.29,27748.79,5613
2020-01-23 09:00:00,27749.29,27846.29,27732.29,27811.79,4494
2020-01-24 03:00:00,27874.29,27897.29,27733.29,27845.29,6215
2020-01-24 04:00:00,27844.79,27923.29,27811.29,27910.79,3957
2020-01-24 05:00:00,27911.79,27947.79,27890.29,27895.79,1779
2020-01-30 03:00:00,26992.79,27116.79,26772.29,26808.79,7491
2020-01-30 04:00:00,26806.29,26857.29,26654.29,26755.29,6361
2020-01-30 05:00:00,26757.29,26762.79,26659.79,26676.29,2165
2020-01-30 07:00:00,26661.79,26682.79,26498.79,26542.79,6088
2020-01-30 08:00:00,26543.29,26568.29,26476.29,26493.29,4485
2020-01-30 09:00:00,26490.29,26513.29,26294.29,26422.29,6252
2020-01-31 03:00:00,26722.29,26793.29,26448.79,26593.29,8596
2020-01-31 04:00:00,26593.79,26658.29,26516.29,26526.29,5856
2020-01-31 05:00:00,26524.29,26554.29,26498.29,26505.29,1831
2020-01-31 07:00:00,26519.29,26537.79,26359.29,26361.29,4226
2020-01-31 08:00:00,26358.29,26390.79,26277.79,26380.79,4907
2020-01-31 09:00:00,26381.29,26408.79,26313.29,26342.79,4316
2020-02-03 03:00:00,26128.29,26484.29,26110.29,26300.79,9914
2020-02-03 04:00:00,26301.79,26334.79,26162.79,26298.79,7568
2020-02-03 05:00:00,26299.29,26349.79,26259.79,26287.79,2510
2020-02-03 07:00:00,26268.29,26433.29,26250.79,26393.79,6449
2020-02-03 08:00:00,26395.29,26397.29,26253.29,26299.79,5430
2020-02-03 09:00:00,26298.79,26371.79,26284.79,26312.79,4414
